ts,workload,streams,gen_tokens,aggregate_tok_s,per_stream_tok_s,ms_step
2026-08-06T13:05Z,natural+plain,1,512,89.7,89.7,11.1
2026-08-06T13:05Z,natural+plain,2,1024,163.2,81.6,12.2
2026-08-06T13:06Z,natural+plain,4,2048,162.5,40.6,12.3
2026-08-06T13:06Z,natural+plain,8,4096,163.8,20.5,12.2
2026-08-06T13:12Z,natural+plain32,1,512,88.1,88.1,27.6
2026-08-06T13:12Z,natural+plain32,2,1024,141.0,70.5,33.9
2026-08-06T13:12Z,natural+plain32,4,2048,226.7,56.7,38.6
2026-08-06T13:13Z,natural+plain32,8,4096,235.3,29.4,39.5
2026-08-06T13:14Z,natural+plain32,16,8192,235.4,14.7,39.8
2026-08-06T13:16Z,natural+plain32,32,16384,228.3,7.1,40.1
2026-08-06T13:22Z,natural+mtp4b,1,512,89.4,89.4,27.4
2026-08-06T13:22Z,natural+mtp4b,2,1024,144.7,72.4,33.9
2026-08-06T13:22Z,natural+mtp4b,4,2048,228.4,57.1,38.3
2026-08-06T13:23Z,natural+mtp4b,8,4096,339.1,42.4,53.2
2026-08-06T13:28Z,struct+mtpk10b,1,512,198.5,198.5,37.9
2026-08-06T13:28Z,struct+mtpk10b,2,1024,299.5,149.7,50.3
2026-08-06T13:28Z,struct+mtpk10b,4,2048,484.0,121.0,62.2
2026-08-06T13:33Z,natural+plainfix,1,512,90.2,90.2,11.1
2026-08-06T13:33Z,natural+plainfix,2,1024,163.7,81.8,12.2
2026-08-06T13:33Z,natural+plainfix,4,2048,273.0,68.2,14.6
2026-08-06T13:34Z,natural+plainfix,8,4096,412.3,51.5,19.3
2026-08-06T13:34Z,natural+plainfix,16,8192,746.0,46.6,21.4
2026-08-06T13:34Z,natural+plainfix,32,16384,1079.9,33.7,29.5
2026-08-06T14:11Z,struct+k10max,4,1144,78.4,19.6,102.7,0
2026-08-06T14:12Z,struct+k10max,8,1562,56.8,7.1,116.0,0
2026-08-06T14:13Z,struct+k10max,16,2058,56.7,3.5,129.7,0
2026-08-06T14:16Z,struct+k10max,32,5215,59.0,1.8,147.0,0
2026-08-06T15:05Z,struct+ngram15,1,512,24.4,24.4,68.1,0
2026-08-06T15:06Z,struct+ngram15,4,2048,50.4,12.6,126.3,0
2026-08-06T15:12Z,natural+plain64,32,16384,1086.3,33.9,29.3,0
2026-08-06T15:12Z,natural+plain64,64,32768,1301.5,20.3,49.0,0
2026-08-06T15:59Z,struct+k15edge2,1,512,192.6,192.6,44.3,0
2026-08-06T15:59Z,struct+k15edge2,2,1024,331.1,165.6,51.5,0
2026-08-06T15:59Z,struct+k15edge2,4,2048,476.2,119.0,71.7,0
2026-08-06T18:02Z,natural+abours_plain,1,512,89.0,89.0,11.2,0
2026-08-06T18:02Z,natural+abours_plain,8,4096,414.5,51.8,19.2,0
2026-08-06T18:03Z,natural+abours_plain,32,16384,1083.0,33.8,29.4,0
2026-08-06T18:06Z,natural+abawq_plain,1,0,0.0,0.0,0.0,0
2026-08-06T18:06Z,natural+abawq_plain,8,0,0.0,0.0,0.0,0
2026-08-06T18:06Z,natural+abawq_plain,32,0,0.0,0.0,0.0,0
2026-08-06T18:08Z,natural+abours_mtp4b,1,512,85.5,85.5,28.5,0
2026-08-06T18:09Z,natural+abours_mtp4b,8,4096,318.6,39.8,54.7,0
2026-08-06T18:12Z,natural+abawq_mtp4b,1,0,0.0,0.0,0.0,0
2026-08-06T18:12Z,natural+abawq_mtp4b,8,0,0.0,0.0,0.0,0
2026-08-06T18:20Z,natural+abawq_plain2,1,0,0.0,0.0,0.0,0
2026-08-06T18:20Z,natural+abawq_plain2,8,0,0.0,0.0,0.0,0
2026-08-06T18:20Z,natural+abawq_plain2,32,0,0.0,0.0,0.0,0
2026-08-06T18:22Z,natural+abawq_mtp4b2,1,0,0.0,0.0,0.0,0
2026-08-06T18:22Z,natural+abawq_mtp4b2,8,0,0.0,0.0,0.0,0
2026-08-06T18:53Z,natural+abawq_plain2,1,512,70.3,70.3,14.2,0
2026-08-06T18:53Z,natural+abawq_plain2,8,4096,507.3,63.4,15.7,0
2026-08-06T18:53Z,natural+abawq_plain2,32,16384,1348.1,42.1,23.6,0
2026-08-06T18:56Z,natural+abawq_mtp4b2,1,512,79.0,79.0,30.6,0
2026-08-06T18:56Z,natural+abawq_mtp4b2,8,4096,381.5,47.7,51.1,0
2026-08-10T00:14Z,natural+plain64_2212,32,16384,1072.4,33.5,29.7,0
2026-08-10T00:15Z,natural+plain64_2212,64,32768,1298.6,20.3,49.1,0
2026-08-10T00:34Z,struct+ngramgpu15,1,512,26.1,26.1,63.7,0
2026-08-10T00:35Z,struct+ngramgpu15,4,2048,52.6,13.2,121.2,0
