ts,k,cell,gen_tokens,tok_s,acc_pct,tau,ms_step,pos_acc_pct_profile
2026-08-06T08:35Z,1,prose-think-1024,1024,74.1,77.9,0.78,24.0,78
2026-08-06T08:35Z,1,prose-nothink-1024,1024,77.1,69.7,0.70,22.0,70
2026-08-06T08:38Z,2,prose-think-1024,1024,86.8,61.7,1.23,25.7,76/47
2026-08-06T08:38Z,2,prose-nothink-1024,1024,82.8,54.2,1.08,25.2,68/40
2026-08-06T08:42Z,3,prose-think-1024,1024,88.4,50.0,1.50,28.2,74/46/30
2026-08-06T08:42Z,3,prose-nothink-1024,1024,90.0,41.4,1.24,25.0,69/39/17
2026-08-06T08:45Z,4,prose-think-1024,1024,92.9,41.7,1.67,28.7,74/43/29/20
2026-08-06T08:45Z,4,prose-nothink-1024,1024,82.6,32.6,1.30,27.9,66/39/17/8
2026-08-06T08:46Z,4,math-think-2048,2048,144.4,78.9,3.16,28.8,92/83/74/66
2026-08-06T08:46Z,4,math-nothink-1024,636,152.8,82.4,3.30,28.1,96/89/77/68
2026-08-06T08:46Z,4,code-nothink-1024,1024,125.7,63.7,2.55,28.2,85/70/55/45
2026-08-06T08:46Z,4,code-think-2048,2048,109.4,53.1,2.13,28.6,78/58/43/33
2026-08-06T08:51Z,5,math-think-2048,2048,137.3,73.8,3.69,34.1,92/82/73/65/57
2026-08-06T08:51Z,5,math-nothink-1024,636,158.9,78.2,3.91,30.8,97/88/81/68/57
2026-08-06T08:51Z,5,code-nothink-1024,1024,124.5,56.6,2.83,30.7,87/70/52/41/34
2026-08-06T08:52Z,5,code-think-2048,2048,110.1,48.2,2.41,31.0,78/58/45/35/25
2026-08-06T08:57Z,6,math-think-2048,2048,137.1,70.0,4.20,37.9,92/83/75/66/56/48
2026-08-06T08:57Z,6,math-nothink-1024,636,155.2,72.1,4.33,34.1,98/88/80/68/56/43
2026-08-06T08:57Z,6,code-nothink-1024,1024,121.5,51.0,3.06,33.5,86/69/52/40/33/26
2026-08-06T08:57Z,6,code-think-2048,2048,104.6,42.2,2.53,33.7,78/58/44/32/23/18
2026-08-06T09:02Z,8,math-think-2048,2048,147.7,61.4,4.91,39.9,92/84/74/67/59/48/38/30
2026-08-06T09:02Z,8,math-nothink-1024,636,163.0,61.0,4.88,36.1,94/85/76/64/53/43/38/35
2026-08-06T09:02Z,8,code-nothink-1024,1024,119.3,40.8,3.26,35.8,85/67/49/37/29/23/20/16
2026-08-06T09:03Z,8,code-think-2048,2048,102.5,33.7,2.70,36.1,77/57/43/31/23/17/12/10
2026-08-06T09:06Z,5,prose-think-1024,1024,91.5,36.5,1.82,30.8,75/45/30/20/13
2026-08-06T09:06Z,5,prose-nothink-1024,1024,77.6,26.9,1.35,30.2,67/39/17/9/4
2026-08-06T09:09Z,5,prose-think-1024+gate,1024,90.3,36.5,1.82,31.2,75/45/30/20/13
2026-08-06T09:09Z,5,prose-nothink-1024+gate,1024,77.3,26.9,1.35,30.4,67/39/17/9/4
2026-08-06T09:09Z,5,math-think-2048+gate,2048,149.5,73.8,3.69,31.4,92/82/73/65/57
2026-08-06T09:09Z,5,math-nothink-1024+gate,636,158.6,78.2,3.91,30.8,97/88/81/68/57
2026-08-06T09:09Z,5,code-nothink-1024+gate,1024,124.3,56.6,2.83,30.7,87/70/52/41/34
2026-08-06T09:09Z,5,code-think-2048+gate,2048,109.9,48.2,2.41,31.1,78/58/45/35/25
2026-08-06T09:16Z,4,prose-think-1024+gate2,1024,90.2,41.7,1.67,29.6,74/43/29/20
2026-08-06T09:17Z,4,prose-nothink-1024+gate2,1024,80.0,32.6,1.30,28.8,66/39/17/8
2026-08-06T09:17Z,4,math-think-2048+gate2,2048,140.0,78.9,3.16,29.7,92/83/74/66
2026-08-06T09:17Z,4,math-nothink-1024+gate2,636,147.2,82.4,3.30,29.2,96/89/77/68
2026-08-06T09:17Z,4,code-nothink-1024+gate2,1024,121.5,63.7,2.55,29.2,85/70/55/45
2026-08-06T09:17Z,4,code-think-2048+gate2,2048,106.1,53.2,2.13,29.5,79/58/43/33
2026-08-06T09:24Z,10,math-think-2048,2048,150.4,52.3,5.23,41.4,91/82/73/67/59/46/35/29/24/19
2026-08-06T09:24Z,10,math-nothink-1024,636,172.7,55.0,5.50,37.6,95/85/77/65/54/45/42/36/29/23
2026-08-06T09:24Z,10,code-nothink-1024,1024,120.8,34.9,3.49,37.0,86/68/50/38/29/23/18/14/13/10
2026-08-06T09:24Z,10,code-think-2048,2048,101.1,27.6,2.76,37.2,76/56/41/31/22/16/12/9/7/6
2026-08-06T09:29Z,12,math-think-2048,2048,148.6,46.2,5.54,43.9,91/82/73/66/58/46/36/29/23/19/17/13
2026-08-06T09:29Z,12,math-nothink-1024,636,164.3,47.1,5.66,40.3,95/84/74/62/53/45/40/33/27/20/17/16
2026-08-06T09:29Z,12,code-nothink-1024,1024,115.5,29.8,3.57,39.4,87/68/48/36/28/22/19/15/12/9/8/7
2026-08-06T09:30Z,12,code-think-2048,2048,97.3,23.7,2.85,39.6,78/57/42/30/21/16/11/9/7/6/5/3
2026-08-06T09:46Z,4,prose-think-2048+syncgate,2048,24.1,42.2,1.69,212.1,74/44/30/21
2026-08-06T09:47Z,4,math-think-2048+syncgate,2048,46.3,79.0,3.16,114.3,93/82/74/66
2026-08-06T09:47Z,4,prose-nothink-1024+syncgate,1024,75.4,32.6,1.30,30.6,66/39/17/8
2026-08-06T10:07Z,4,struct-json-1024,1024,151.3,89.0,3.56,30.1,98/92/85/81
2026-08-06T10:07Z,4,struct-csv-1024,1024,139.1,76.3,3.05,29.1,92/83/70/61
2026-08-06T10:10Z,8,struct-json-1024,1024,190.6,78.8,6.30,38.1,98/95/83/80/75/71/67/62
2026-08-06T10:10Z,8,struct-csv-1024,1024,149.9,55.0,4.40,35.8,91/78/65/53/47/40/35/32
2026-08-06T10:13Z,12,struct-json-1024,1024,208.5,66.2,7.94,42.7,95/89/76/72/67/63/63/59/58/54/50/47
2026-08-06T10:13Z,12,struct-csv-1024,1024,156.3,43.3,5.20,39.7,87/73/61/53/47/37/33/30/28/27/25/18
2026-08-06T10:18Z,16,struct-json-1024,1024,144.6,46.6,7.45,58.1,98/96/94/90/88/86/82/81/24/7/0/0/0/0/0/0
2026-08-06T10:18Z,16,struct-csv-1024,1024,306.5,89.1,14.25,49.1,99/94/93/93/91/90/90/90/90/88/88/87/87/84/84/79
2026-08-06T10:23Z,20,struct-json-1024,1024,163.0,83.7,16.73,54.2,98/95/93/93/91/91/91/91/91/90/90/89/89/87/87/84/83/75/41/26
