shape_k,shape_n,m,kernel,us,gbs,rel_err,ok
1536,5120,16,wmma,21.94,201.6,4.05e-04,1
1536,5120,16,A_d2,28.86,153.3,4.05e-04,1
1536,5120,16,A_d2b,28.65,154.4,4.05e-04,1
1536,5120,16,A_d1b,23.2,190.6,4.05e-04,1
1536,5120,16,B_ring,32.82,134.8,2.53e-04,1
1536,5120,32,wmma,28.69,154.2,4.03e-04,1
1536,5120,32,A_d2,35.34,125.2,4.03e-04,1
1536,5120,32,A_d2b,34.23,129.2,4.03e-04,1
1536,5120,32,A_d1b,27.83,158.9,4.03e-04,1
1536,5120,32,B_ring,57.95,76.3,2.54e-04,1
1536,5120,64,wmma,49.25,89.8,4.10e-04,1
1536,5120,64,A_d2,48.88,90.5,4.10e-04,1
1536,5120,64,A_d2b,59.1,74.9,4.10e-04,1
1536,5120,64,A_d1b,49.79,88.8,4.10e-04,1
1536,5120,64,B_ring,99.18,44.6,2.53e-04,1
4352,5120,16,wmma,48.57,258.0,4.06e-04,1
4352,5120,16,A_d2,65.93,190.1,4.06e-04,1
4352,5120,16,A_d2b,68.73,182.4,4.06e-04,1
4352,5120,16,A_d1b,52.5,238.7,4.06e-04,1
4352,5120,16,B_ring,77.15,162.5,3.08e-04,1
4352,5120,32,wmma,63.75,196.6,4.34e-04,1
4352,5120,32,A_d2,84.2,148.9,4.34e-04,1
4352,5120,32,A_d2b,73.28,171.0,4.34e-04,1
4352,5120,32,A_d1b,60.65,206.7,4.34e-04,1
4352,5120,32,B_ring,133.11,94.2,3.06e-04,1
4352,5120,64,wmma,103.25,121.4,4.16e-04,1
4352,5120,64,A_d2,108.33,115.7,4.16e-04,1
4352,5120,64,A_d2b,142.44,88.0,4.16e-04,1
4352,5120,64,A_d1b,113.78,110.2,4.16e-04,1
4352,5120,64,B_ring,252.22,49.7,3.03e-04,1
5120,8704,16,wmma,83.79,299.2,4.56e-04,1
5120,8704,16,A_d2,106.27,235.9,4.56e-04,1
5120,8704,16,A_d2b,139.01,180.3,4.56e-04,1
5120,8704,16,A_d1b,104.33,240.3,4.56e-04,1
5120,8704,16,B_ring,97.85,256.2,4.56e-04,1
5120,8704,32,wmma,130.22,192.5,4.35e-04,1
5120,8704,32,A_d2,152.83,164.0,4.35e-04,1
5120,8704,32,A_d2b,162.85,153.9,4.35e-04,1
5120,8704,32,A_d1b,134.06,187.0,4.35e-04,1
5120,8704,32,B_ring,173.68,144.3,4.35e-04,1
5120,8704,64,wmma,233.8,107.2,4.63e-04,1
5120,8704,64,A_d2,242.86,103.2,4.63e-04,1
5120,8704,64,A_d2b,322.65,77.7,4.63e-04,1
5120,8704,64,A_d1b,258.43,97.0,4.63e-04,1
5120,8704,64,B_ring,567.15,44.2,4.55e-04,1
5120,4096,16,wmma,56.17,210.0,3.88e-04,1
5120,4096,16,A_d2,77.78,151.7,3.88e-04,1
5120,4096,16,A_d2b,80.83,145.9,3.88e-04,1
5120,4096,16,A_d1b,60.48,195.0,3.88e-04,1
5120,4096,16,B_ring,98.83,119.4,2.84e-04,1
5120,4096,32,wmma,69.74,169.2,4.07e-04,1
5120,4096,32,A_d2,91.51,128.9,4.07e-04,1
5120,4096,32,A_d2b,83.69,141.0,4.07e-04,1
5120,4096,32,A_d1b,68.44,172.4,4.07e-04,1
5120,4096,32,B_ring,155.13,76.0,2.88e-04,1
5120,4096,64,wmma,118.77,99.3,4.04e-04,1
5120,4096,64,A_d2,123.39,95.6,4.04e-04,1
5120,4096,64,A_d2b,162.94,72.4,4.04e-04,1
5120,4096,64,A_d1b,130.29,90.5,4.04e-04,1
5120,4096,64,B_ring,294.89,40.0,2.87e-04,1
5120,2048,16,wmma,54.94,107.4,3.81e-04,1
5120,2048,16,A_d2,73.93,79.8,3.81e-04,1
5120,2048,16,A_d2b,73.92,79.8,3.81e-04,1
5120,2048,16,A_d1b,56.96,103.6,3.81e-04,1
5120,2048,16,B_ring,78.17,75.5,2.88e-04,1
5120,2048,32,wmma,41.54,142.0,3.83e-04,1
5120,2048,32,A_d2,65.78,89.7,3.83e-04,1
5120,2048,32,A_d2b,63.97,92.2,3.83e-04,1
5120,2048,32,A_d1b,41.93,140.7,3.83e-04,1
5120,2048,32,B_ring,145.66,40.5,2.84e-04,1
5120,2048,64,wmma,66.1,89.2,3.80e-04,1
5120,2048,64,A_d2,72.48,81.4,3.80e-04,1
5120,2048,64,A_d2b,83.07,71.0,3.80e-04,1
5120,2048,64,A_d1b,66.53,88.6,3.80e-04,1
5120,2048,64,B_ring,294.04,20.1,2.84e-04,1
